"1185 Comm Ave, unit, #10",,1,Allston,https://www.youtube.com/watch?v=0eDrIG1wYys
"1185 Comm Ave, unit, #3",,3,Allston,https://www.youtube.com/watch?v=sESnc2UesVA
"1185 Comm Ave, unit, #6",,STUDIO,Allston,https://www.youtube.com/watch?v=JhconxsOo44
"1185 Comm Ave, unit, #8",,STUDIO,Allston,https://www.youtube.com/watch?v=HrYrxciru1A
"1185 Comm Ave, unit, #9",,1 Split,Allston,https://www.youtube.com/watch?v=_c3JD-E7wUA
"119 Brainerd, unit, #10",,1,Allston,https://www.youtube.com/watch?v=4Bs0lEjB7e0
"1191 Boylston, unit, #50",,STUDIO,Fenway,https://www.youtube.com/watch?v=CEyclA-dz6Q
"120 Mountfort Street, unit, #302",,3,Kenmore,https://www.youtube.com/watch?v=HQUpNRX2Nws
"120 Peterborough, unit, #3",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=FFcvR4rCcFI
"120 Peterborough, unit, #4",Copley,1,Fenway,https://www.youtube.com/watch?v=gYMkLtdrmYM
"120 Peterborough, unit, #D",Copley,2,Fenway,https://www.youtube.com/watch?v=SxSPS0kMlus
"124 Peterborough, unit, #9",Copley,1,Fenway,https://www.youtube.com/watch?v=fu71zqMAwlY
"127 Saint Botolph Street, unit, #3",Copley,1,Back Bay,https://www.youtube.com/watch?v=7fiX8E4Ci0M
"127 Saint Botolph Street, unit, #4",Copley,1,Back Bay,https://www.youtube.com/watch?v=Q8ur1Rw0gLY
"1298 Commonwealth, unit, #3",,1,Allston,https://www.youtube.com/watch?v=QpfMkRlCZd4
"1334 Comm Ave, unit, #20",,1,Allston,https://www.youtube.com/watch?v=OfVy8aqWXvU
"14 Commonwealth Court, unit, #13",,1,Allston,https://www.youtube.com/watch?v=MyDAdA8hOLw
"1406 Beacon, unit, #4",,3,Brookline,https://www.youtube.com/watch?v=dj-1ckU_b94
"1450 Comm Ave, unit, #19",,studio,Brighton,https://www.youtube.com/watch?v=3lZV2M6mEd0
"146 Chiswick Road, unit, #",,4,Brighton,https://www.youtube.com/watch?v=6nJvDa1IFc4
"15 Queensberry Street, unit, #2",Copley,1,Fenway,https://www.youtube.com/watch?v=esl0-TJa2g8
"15 Queensberry Street, unit, #2",Copley,1,Fenway,https://www.youtube.com/watch?v=esl0-TJa2g8
"15 Queensberry Street, unit, #31",Copley,1,Fenway,https://www.youtube.com/watch?v=SWVdTsRPmBY
"15 Queensberry Street, unit, #44",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=jhucxixX4wg
"156 Coolidge Street, unit, #3",,4,Brookline,https://www.youtube.com/watch?v=qJYMhSVYG_c
"157 East Cottage, unit, #4",,4,Dorchester,https://www.youtube.com/watch?v=ujAHjA0qpz4
"1589 Beacon St, unit, #10",,1,Brookline,https://www.youtube.com/watch?v=COIEGCzC9_c
"16 Fuller Street, unit, #3",,2 or 3,Brookline,https://www.youtube.com/watch?v=-5yeXCBLSKE
"16 Queensberry Street, unit, #14",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=qPFcBCF8msw
"16 Queensberry Street, unit, #5",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=2Z503B3vj0s
"16 Reedsdale, unit, #none",,3,Allston,https://www.youtube.com/watch?v=qFb_HWHUN4o
"1615 Commonwealth Ave, unit, #17",,2,Brighton,https://www.youtube.com/watch?v=jDDKxMW_UVI
"1630 Comm Ave, unit, #7",,2,Brighton,https://www.youtube.com/watch?v=u80WQrA6fJc
"1742 Washington, unit, #3",,2,South End,https://www.youtube.com/watch?v=uRv8tTlOMag
"1750 Washington, unit, #8",,3,South End,https://www.youtube.com/watch?v=rj1UJbyoey8
"19 Chester, unit, #1",,1 Bed,Allston,https://www.youtube.com/watch?v=l1nwf7-tF6c
"19 Chester, unit, #12",,2 Bed,Allston,https://www.youtube.com/watch?v=7YnZGII2FNc
"19 Chester, unit, #3",,1 Bed Split,Allston,https://www.youtube.com/watch?v=Qd44YgUw6RM
"19 Chester, unit, #6",,2 Bed,Allston,https://www.youtube.com/watch?v=TV4TiQkPGY8
"19 Queensberry Street, unit, #36",,STUDIO,Fenway,https://www.youtube.com/watch?v=7JQTufwLQTw
"191 Park Drive, unit, #22",Copley,1,Fenway,https://www.youtube.com/watch?v=30DNj1ID2b8
"191 Park Drive, unit, #22",Copley,1,Fenway,https://www.youtube.com/watch?v=30DNj1ID2b8
"191 Park Drive, unit, #25",Copley,1,Fenway,https://www.youtube.com/watch?v=0ZlZVtAAcH4
"191 Park Drive, unit, #4",Copley,1,Fenway,https://www.youtube.com/watch?v=UKuaZNhoUW0
"195 Commonwealth Avenue, unit, #3",Copley,1,Back Bay,https://www.youtube.com/watch?v=QtiQqzZI4C4
"195 Park Drive, unit, #25",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=Kn-CfG3W2Go
"195 Park Drive, unit, #31",Copley,1,Fenway,https://www.youtube.com/watch?v=3IkxbrMvgKg
"195 Park Drive, unit, #35",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=Er2-7BQVx2k
"195 Park Drive, unit, #4",Copley,1,Fenway,https://www.youtube.com/watch?v=MYPWQm-G6CU
"20 Queensberry Street, unit, #8",Copley,1,Fenway,https://www.youtube.com/watch?v=hSnvBZKvT-g
"20 Queensberry Street, unit, #B",Copley,STUDIO,Fenway,https://www.youtube.com/watch?v=0NDewplalnM
"20 Queensberry, unit, #9",Copley,2,Fenway,https://www.youtube.com/watch?v=x6df0cADIXA
"22 Greylock, unit, #",,4,Allston,https://www.youtube.com/watch?v=U4VnWJ2X9eI
"222 Babcock, unit, #3F",,STUDIO,Brookline,https://www.youtube.com/watch?v=Eqv9Gv97zzw
"224 South Street, unit, #7",,2,Jamaica Plain,https://www.youtube.com/watch?v=NLABbwPTqCg
"230 Babcock, unit, #2E",,1,Brookline,https://www.youtube.com/watch?v=3rFWtKapAoE
"230 South Street, unit, #5",,3,Jamaica Plain,https://www.youtube.com/watch?v=84epEfMwlxc
