55 Parkman #L,Hamilton,,,http://www.youtube.com/watch?v=j2LLYXn5l30
131 washington # 1,Hamilton,,,https://www.youtube.com/watch?v=H_97NNq8I30
135 washington # 2,Hamilton,,,https://www.youtube.com/watch?v=kRjWFr9K7IQ
127 washington # 33,Hamilton,,,https://www.youtube.com/watch?v=PBAiLil3vkM
135 washington #52,Hamilton,,,https://www.youtube.com/watch?v=Nc3cpcumrAE
110 babcock # 27,Hamilton,,,http://www.youtube.com/watch?v=NoQIC16FRFY
1160 Comm Ave #12A,Hamilton,,,http://www.youtube.com/watch?v=DjnxVwubKO0&feature=youtu.be
1126 boylston #601,hamilton,,,http://www.youtube.com/watch?v=xixLa7yMHSo
1126 boylston #301,hamilton,,,http://www.youtube.com/watch?v=w_Hc83FZdnM
1078 boylston # 4,hamilton,,,http://www.youtube.com/watch?v=bwHXTc0mJhY
1160 Commonwealth # 35,Hamilton,,,http://www.youtube.com/watch?v=ZS2Q0siqu2s
1152 Commonwealth Ave #33,hamilton,,,http://www.youtube.com/watch?v=hlQV0LkoQvg
1148 Commonwelath Ave # 20,hamilton,,,http://www.youtube.com/watch?v=xjqcdCK2pdk
1135 commonwealth ave 0c,hamilton,,,http://www.youtube.com/watch?v=QMrSIAO8jZo
1148 commonwealth # 12,hamilton,,,http://www.youtube.com/watch?v=jLJ3HCm0lzk
1156 Commonwealth # 25,hamilton,,,http://www.youtube.com/watch?v=M_MaVAH-52M
1126 Boylston St #701,Hamilton,,,http://www.youtube.com/watch?v=MglF-_7PMds
1111 Beacon St PH1,Hamilton,,,http://www.youtube.com/watch?v=FIj8fi6Mp1k&feature=youtu.be
127 Washington St #52,Hamilton,,,http://www.youtube.com/watch?v=SnNS2wwhoy8&feature=youtu.be
75 Gardner St #26,Hamilton,,,http://www.youtube.com/watch?v=zUu7N5vvj9A&feature=youtu.be
230 Babcock St #2E,Hamilton,,,http://www.youtube.com/watch?v=EjXYM9jB3pk&feature=youtu.be
230 Babcock St #3F,Hamilton,,,http://www.youtube.com/watch?v=Ijoo4uh3sII&feature=youtu.be
175 dexter park # 816,Hamilton,,,http://www.youtube.com/watch?v=Ai6SZUe0szw
127 Washington #55,Hamilton,,,http://www.youtube.com/watch?v=DnG0Jz_UCmQ
131 Washington #24,Hamilton,,,http://www.youtube.com/watch?v=jNEt8UGP5nQ
53 Ashford #5,Hamilton,,,http://www.youtube.com/watch?v=MS8mX4lPFKQ
53 Ashford #6,Hamilton,,,http://www.youtube.com/watch?v=1wDLoL5R1Lo
Atrium #532,Hamilton,,,http://www.youtube.com/watch?v=7lyKOveEMuY
Atrium #423,Hamilton,,,http://www.youtube.com/watch?v=4fFlv2vs-Bo
Atrium #409,Hamilton,,,http://www.youtube.com/watch?v=HFTABmLPEMQ
Atrium #340,Hamilton,,,http://www.youtube.com/watch?v=5pHFzLFPSJk
Atrium #330,Hamilton,,,http://www.youtube.com/watch?v=NP-zVoYsu1U
Atrium #226,Hamilton,,,http://www.youtube.com/watch?v=sFCaJGZxgU4
1148 Comm Ave #25,Hamilton,,,http://www.youtube.com/watch?v=bap4o-ct6jY
1156 Comm Ave #35,Hamilton,,,http://www.youtube.com/watch?v=6-hicrdiGt4
1148 Comm Ave #24,Hamilton,,,http://www.youtube.com/watch?v=PjJIuY74YAc
62 boylston # L15,hamilton,,,http://www.youtube.com/watch?v=2MSUqcWbl7g&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
Atrium #235,Hamilton,,,http://www.youtube.com/watch?v=YYXZT4rCd1w
135 washington # 1,Hamilton,,,http://www.youtube.com/watch?v=UjpTj0pi6_I&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
1152 Comm Ave #35,Hamilton,,,http://www.youtube.com/watch?v=1-LfOWz7M9g
